Date : 2022-05-02 17:13:41
Directory : /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice
Total : 92 files,  34536 codes, 10061 comments, 5244 blanks, all 49841 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/preproc.hpp                                  | C++      |          8 |          0 |          3 |         11 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/scene.hpp                                    | C++      |         70 |         15 |         29 |        114 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/scenedef.hpp                                 | C++      |         62 |          3 |         14 |         79 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/setup.hpp                                    | C++      |         38 |          0 |         14 |         52 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/sound.hpp                                    | C++      |         26 |          1 |          3 |         30 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/sprites.hpp                                  | C++      |        141 |         28 |         30 |        199 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/tilemap.hpp                                  | C++      |          2 |          0 |          2 |          4 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/include/Rutice/Internal/types.hpp                                    | C++      |         50 |          3 |         12 |         65 |
| /home/techiesplash/Documents/projects/adv/3ds/engine/Rutice/src/main.cpp                                                         | C++      |        149 |         34 |         38 |        221 |
| Total                                                                                                                            |          |     34,536 |     10,061 |      5,244 |     49,841 |
+----------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
